#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2009-01-26T15:39:05
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx4787	
#INFO	-out.max=50000	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F10.6)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#_RAJ2000	_DEJ2000	HIP	Vmag	B-V
#deg	deg		mag	mag
#----------	----------	------	-----	------
* V 10
  0.005024	 38.859279	     3	 6.61	-0.019
  0.008629	-51.893546	     4	 8.06	 0.370
  0.009973	-40.591202	     5	 8.55	 0.902
  0.035323	 36.585958	     9	 8.59	 1.067
  0.036416	-50.866976	    10	 8.59	 0.489
  0.037336	 46.939997	    11	 7.34	 0.081
  0.040900	-35.960225	    12	 8.43	 1.484
  0.041702	-22.594705	    13	 8.80	 1.128
  0.048422	 -0.360450	    14	 7.25	 1.200
  0.050362	 50.791187	    15	 8.60	 1.166
  0.050990	-40.192393	    17	 8.15	 0.425
  0.053309	 38.304050	    19	 6.53	 0.955
  0.063046	 23.529228	    20	 8.51	 0.516
  0.066388	  8.007234	    21	 7.55	 1.438
  0.070106	-49.352266	    22	 8.69	 0.962
  0.074565	 13.312234	    23	 7.57	 0.456
  0.079564	-44.290561	    25	 6.28	 0.763
  0.087212	-43.361821	    28	 8.83	 0.468
  0.096108	 42.141474	    30	 8.26	 0.142
  0.098082	  2.675477	    31	 7.63	 1.453
  0.099172	-10.462385	    33	 8.10	 0.466
  0.099585	 26.918108	    34	 6.43	 0.514
  0.103399	 12.267128	    36	 7.68	 1.150
  0.113126	-79.061983	    38	 8.65	 0.778
  0.112292	-16.697009	    39	 7.46	 0.475
  0.116571	 54.302237	    41	 8.70	 0.026
  0.125443	 25.844765	    42	 8.20	 0.387
  0.128702	 59.559679	    43	 6.18	 1.032
  0.132749	 -3.306323	    44	 7.91	 1.104
  0.134585	-25.622285	    46	 8.57	 1.035
  0.135236	-40.690474	    48	 7.31	 1.164
  0.143085	-53.097713	    50	 6.49	 0.616
  0.143415	  1.066213	    51	 8.94	 0.906
  0.146891	-77.020116	    52	 8.56	 0.196
  0.158833	-66.683173	    55	 7.40	 0.551
  0.162927	  0.222931	    56	 8.12	 1.329
  0.167999	-69.675965	    57	 8.27	 0.863
  0.173519	 62.175898	    58	 7.05	 0.520
  0.175433	-64.465799	    60	 8.34	 0.386
  0.176292	 53.822146	    61	 8.86	 1.081
  0.179975	-45.422739	    62	 8.27	 0.994
  0.181810	 45.253334	    63	 6.36	-0.047
  0.184573	-27.907582	    64	 8.08	 1.156
  0.188424	-72.318220	    66	 8.55	 0.401
  0.199343	 23.538219	    67	 7.83	 0.495
  0.200383	 16.988197	    68	 8.79	 0.940
  0.201418	 30.395890	    69	 8.33	 0.135
  0.207025	 36.780106	    71	 8.26	 0.846
  0.219932	-12.828961	    72	 8.97	 0.671
  0.220329	 66.848011	    73	 6.90	 1.446
  0.223273	-50.446459	    75	 7.42	 1.524
  0.230575	-30.064166	    77	 8.41	 0.022
  0.232312	 17.867851	    78	 8.06	 1.203
  0.235772	 35.316720	    79	 8.69	 0.529
  0.242833	-11.823739	    80	 8.40	 0.566
  0.243414	 -4.932534	    81	 8.57	 0.642
  0.248073	 52.080562	    83	 8.85	 1.726
  0.260463	 69.603505	    86	 8.05	 0.018
  0.261496	 -5.835002	    87	 7.80	 0.430
  0.269093	-48.809876	    88	 5.71	 0.911
  0.277155	 53.166943	    89	 7.87	 1.566
  0.280082	-41.887544	    90	 7.64	 0.500
  0.280531	 -5.874348	    91	 7.66	 1.300
  0.290697	-20.705550	    92	 8.68	 0.944
  0.292356	 -0.076098	    93	 8.12	 0.619
  0.302014	-11.964034	    95	 8.67	 0.513
  0.316063	 60.355282	    99	 7.04	 2.835
  0.316376	 19.741243	   100	 8.44	 0.898
  0.320488	-41.487437	   102	 7.05	 1.550
  0.322075	-68.371127	   103	 8.29	 0.538
  0.327808	 70.928938	   105	 7.73	 0.455
  0.330215	 49.981558	   106	 6.22	 0.970
  0.333830	-50.337373	   107	 5.53	 1.615
  0.336644	-70.125272	   108	 8.53	 1.315
  0.346594	  6.791470	   109	 7.23	 0.388
  0.348614	 39.610717	   110	 8.61	 0.787
  0.365620	 49.010406	   113	 8.93	 0.021
  0.371647	 30.735785	   114	 7.95	 0.654
  0.372585	-62.923130	   115	 7.46	 0.160
  0.375323	-33.792771	   116	 8.60	 0.435
  0.380557	-72.605899	   117	 8.55	 1.093
  0.390166	 44.675401	   119	 6.82	 1.071
  0.395921	-45.344759	   120	 8.29	 1.183
  0.396425	 28.423691	   121	 6.83	 1.197
  0.398766	-77.065724	   122	 4.78	 1.254
  0.399885	 72.236615	   123	 7.21	 1.169
  0.404231	 61.222801	   124	 5.58	 0.407
  0.404670	-39.336748	   125	 8.70	 0.366
  0.408827	 14.632324	   126	 8.06	 0.969
  0.414415	 73.611847	   128	 6.50	 0.182
  0.419868	 62.018087	   131	 8.13	 0.200
  0.423476	-40.148702	   133	 6.62	 0.545
  0.426796	 -0.217777	   135	 8.64	 0.620
  0.428692	 24.253113	   136	 6.60	 1.153
  0.432706	 42.367144	   137	 6.25	-0.042
  0.437444	-16.531661	   138	 7.83	 1.074
  0.453494	 36.350358	   141	 8.47	 1.350
  0.453777	 66.306032	   142	 7.33	 0.730
  0.455278	 76.175598	   144	 8.66	 1.364
  0.456035	 -3.027504	   145	 5.13	-0.128
  0.455839	-25.798526	   146	 8.96	 0.306
  0.466060	 21.026236	   147	 8.49	 1.569
  0.478821	 15.528542	   148	 8.15	 0.584
  0.480305	-37.229953	   150	 7.04	 1.060
  0.484874	-41.613774	   151	 7.78	 0.411
  0.484511	 12.654888	   153	 8.90	 0.459
